db_id,artist_name,spotify_id
379c2cd0-745c-4572-8b47-a9fda106f882,Soultorque,43Oxp8D7P6sJWfbmrh1cif
9b424fdb-0461-4b5a-9171-82d7cdfea2fe,Josh Kramer,2stOL2fH4SxcTNg7RXo9AG
94ed7ed9-b1de-4907-92d4-196115151e9a,Ryan Coss,22TzutcnmM3B1e7mWLY0f7
75ff3e9e-ccae-4753-8239-eb5ad0edacb8,SPIRIT LINK,4k42mHalwBTdZWvAy3ucTc
1d684e90-387e-4eb7-bc86-85bd6d6ab0d0,Raymond Revel,17gtjCjxCPFSXyva6MAYts
a3ee6c9a-1118-496d-ba1d-c49495ce2e68,RudeLies,7hf6L4LN1RTVN66IdBVpPr
ed85fa25-3cbc-4d08-8fe0-817b16bd3867,Juventa,2c8lJBXnL9RqVgp81tm2np
1413e844-30ea-4ab8-a786-400f94453fad,THIRST,48jyKugtgYM5RdzwF7zKde
64c00b8a-b21d-4195-9694-a50a75f6aaf3,Guy Arthur,7I82CsIAyE2RTFwtP6gcrP
4637bf59-c5b1-4113-bcd4-0754a156f282,Veela,3CiuuHKIxxJPoNRvF94GtR
4aa7eefc-9f21-41a4-936d-3683433473f4,bludnymph,7GwwoezwdbKvUaNgtg51pX
c0c6c8b1-d9b1-4325-8a03-4f9a9e8190e2,Subformat,1IuudnaYrKISguh56IxqKl
53a5f91e-218c-4c02-86f5-b6d811aefa3d,Kazukii,5d07MpiIaNmmEMTq79KAga
5df3c63e-39df-444d-b368-01908302c550,Nina Carr,776UugG4CdQlYfsEUVCRqb
c23a71a5-b789-4f9d-87a6-203c933a2b33,Ryan Case,2MCUmcEXeY80S0aSucQsXn
9777c6b6-a78a-4fda-be48-ca76b6042dcf,Livingston Crain,4RtqDXilSr5s7rDH0t7oRn
ec9fcf0c-4a70-4dbb-a52b-80169e708a37,ShockOne,1yShtQaHjChbToQboKRzgH
74d88a4b-5fc3-4e4b-868d-59ad66c96431,Neilio,2wgZcTOArO4znVZzjKkiOH
2766e9ea-9b7d-4c07-a6cf-1c081e82db92,Xilent,1k78cRCnTM3T7EhvhVeaKX
f8246286-de35-435a-a440-80fa2cde5c26,Mr FijiWiji,2uEo8Rajpdz1AqineCVLHq
6fc0b202-a6f2-4c36-af79-75d8f84c2e5c,Egzod,3exvMmrLV6o4R42YnG3Id6
586c1cd8-cdc6-43b5-8e23-6e98c9b1c417,Referna,6yKE5c5IgT0cEwhIbvW2vd
3f1e3f3f-4a81-4425-8b6e-54eae43b2650,LVTHER,4sGfNIfA14nKOKNi9NNQ12
6d56c8ef-4ef6-4c5c-993f-46d933bb4031,BELELA,6nPKt2CGXcKHtmbMq8Sq62
bedfaffb-4819-4ae5-99f5-0d6a8fd16176,Topi,6WP0h3qR0awvIWPMvE72F8
b62d26b2-53ae-42d7-a66b-07498faca11e,Lauren L'aimant,2M2QzPADSybcVig2CBTcFJ
cda84637-b2ea-4081-9707-b1529ba98d27,VØJ,4KRllJ2dEeoqvxOQLOgOsI
ca9e2cf6-c76a-4009-8d15-60c346c507ec,Sharks,1C3aEfW34xkicZ5umNYdJM
8e20840c-2f81-4daa-b8b4-76f457f513f2,Marlhy,1fvH6NeNDohKGKwvRiebRA
358d5ea6-04b2-4055-91a9-bc00f1028448,HVDES,3koHmmPvpgZWHcVmK8AKDq
fd70ff35-2858-412b-8ecf-bb3fc79a5ce6,Danny Leax,7LhadozhnDqlnrs6thTnIu
a1ef0aaa-7806-4ded-970e-45569fb09473,VESK GREEN,4D6SwsmIOKAcd2sMavDqxo
be64f1f9-6904-4d9c-b9e1-062ef9559326,Modestep,5zYJziKktyqWwmoAWXrShP
cb7cd7f2-a865-401f-88e9-60216f6e7a6c,INHUMAN,1QeTjGvzNdgEbglFeedKWe
fd7660f8-43c8-4114-84ce-9747eb55e3f9,Blanke,59Yq0xrABEihHANsfo9QMT
809dc67c-205f-47a6-bf91-59b1f33b112a,Direct,5eOyDcFvvdc7D7BD6gCdsi
8d9ab895-8d0a-4642-93af-bf8df3a38916,Drowsy,2Sqm6MFN5019innB8vdSr9
ecff8f84-7f17-4500-a9d4-d29dd468dc8d,Selva,1Ejjxuav6kpsSyb6QIhjHa
255e74de-567c-4a24-ba56-739aeb31e82d,Obsidia,2tV5eD1SPIy0Mf871wk9Hp
bfdc6bf5-3a1f-4512-b83f-c4709f1db642,Gravas,2ucDELeg7gohUzo8kJ9Hj3
f90bf89c-d051-4a46-81b9-09d585ec4a35,Koven,3UCbp6D1lvILlxRJT9LnFa
6f9c6cc3-ee15-4c42-9969-86778b99516e,Adriano,16rL3ixuAl02NLL6uTCt54
7e6c39d8-567a-413b-a0b7-d39d1b58b101,CELO,0cF121Uo22slYVIvyft0Eh
d42dd12b-1bd8-49b2-b9aa-ec0cdc69c114,Jaykode,1AlMOfS6T5s24LsrLZ2Eji
16a80530-ecc4-4f56-8a4f-7b08de0a4a2c,Leotie,070fV7yF5r09T89LHE7HKF
bec8912a-eba7-4a8b-b242-18851cbcbd7b,MAYLYN,36L4aidPfPFcI1KPY1XDFM
b1b537aa-2fb4-4ac8-9716-822e2d692503,Redmoon,2zwLoBaOsn1egprJgHljml
b7f5a328-8a0f-42bf-885d-329c991f324d,LÚTHIEN,28J7jxbAyCfpC1R5XAgeq5
b8eaf9b7-e7f5-4b26-aa7b-6a9be8a5205c,nuphory,2K0uRwlc2VKeRoWS8Iuija
15ac219f-cd96-434c-9534-bc859d13c4b0,Nōpi,7sMOGsm8T0YZ230abl9TcP
e5d33ed3-22d0-4719-aa33-773441326639,Donna Tella,39czNpwEAe5tGKIE53XDmm
0da52a41-e1a5-4257-86f4-b65af12fa2ee,Flexible Fire,76sA8VLsfgOY1qoNgHnf8K
55a6a590-db08-41e0-bbd1-8701fd54f33d,Typhon,1dHoVVD7qBHRyfL7PU1bgb
884b168c-2b1b-4e6c-b26a-e0bd2d912b54,Basstrick,2g6IRi1Nu7TGzm2WhSggta
1fb5028f-350c-4360-a5e3-0bc3e974ecc0,Laminar,7KR2Kk6DSExT2gK5vDHgTr
5ded96d6-7784-44aa-aa7f-26154ae006e0,BKAYE,1GrQQZ7U31WfQPQbd3MHx9
1c81e039-0de8-4369-93d4-67bb4e0bf969,KUURO,5mVWu2Ofpm2mlEpuMm3b4Q
c4371b26-2df6-4664-980e-2195104dc330,Aether,5UyjnQfu4OsLGiOi3sIoEN
605b26f6-5188-4576-a626-e724abd47a76,Openwater,6OZpvsCiO11XyGxYr9gTTf
b631f877-ce18-45ff-a07f-d9c788148a04,Ellika,1GStVlUvAf7VkKbQ616ht0
f7d2ed7f-2956-4f4a-bc90-49fc2d2aab72,Virus Syndicate,0NV5eY4Jzg4ldg2ikGnV4n
6e67424a-877c-4697-8115-035d6d721c71,Roald Velden,1ezY8w6yikBekrZCUVYkLP
3712bd26-213a-479a-9258-b3af143cc776,David Broaders,5HZLbeENEV5dYKfq2dG14b
07227ce4-c2e7-4763-9b52-a11bff657ee4,Fox Stevenson,2BQWHuvxG4kMYnfghdaCIy
9f6167b2-2378-4560-b599-c282a38414cd,Unlike Pluto,4zjO8Jhi2pciJJzd8Q6rga
a20733d2-bc82-4a18-9642-4e7f00ff63db,Matroda,45lcbTsX07JWzmTIjcdyBz
945e7d66-f25a-47c1-a317-85ef58de769d,Snareskin,5sDdzMVQgnGZ0nND3WvByB
ee2dc254-ef81-43cf-adac-c8b5e0be56c8,Lava Hong,6yDrbCYEt6ICpuW4Uc9YZu
4e00fdd5-326e-40ad-b729-4f3aa605d7d4,Didrick,5yHFElFCi9F3I316qLU0QA
447cca79-bd4d-4e8f-928e-a46536da6adf,YULA,32GQyTofHn92DwudAFpVf8
cbcc1768-e0f8-42be-bdc0-f791b2974ddb,Luke Coulson,5ctD2yNFX7W8uWIxTvirkx
2d054283-d896-4a51-a17a-025cb2808989,Maliboux,157IWDnr2hC9SFL5OJF8j7
9c46dc3d-1628-45ac-bb6a-2998f4e489ff,Krewella,0Cd6nHYwecCNM1sVEXKlYr
ba4be37e-a152-4433-b3a0-7381adbcc103,EDDIE,0LgrViZrCyMgg5MfTc33bd
fc82df9c-dc6c-4b5f-92c8-e7aa76dd671f,The Night,2OcXhxBYCCNRNR4EYXs8ov
b610739e-3dcb-4ac5-8ea7-febf0175e638,Harvey,4p5OJUjMqi3l98prXVbGC9
fda2b171-d51c-4c34-8c42-86773e601d4a,RILEY,38SHprY6NUd8O9LyWJ4hg4
c5f6985c-f7aa-497e-87d5-564d0b88d5cf,Neville,2gt9YfYa9tUbY9grQKYwi1
9cdc6a94-97b9-41ff-8774-f524e4febc66,IVORY,4820AP0lvBGJjSK0PXgZgo
d9d7d5c5-46ec-41e1-a070-b7f3205af461,Blosso,5Jn30mbNDGHLSxfCUZc7XM
1af85ea2-0a52-4a09-986d-5715815f4f03,Snails,2yT7X3Gg2S51DHz67FAYL6
bb663f88-8f43-4448-972d-b44dfa452631,Snavs,4xFadP7L1YVwVSjDDfjKjM
f3758481-e1e6-4c16-8235-55b6aa379859,JT Roach,5CtI0OHj5x6rHQDqpM4JPy
339ea24a-4efa-48d1-b67e-2dfbe5af4b72,Sushi Killer,4dljuICglLYdFmk4dXtfUa
332be878-339e-4e08-bb9b-463627274dcf,Anna Yvette,2Ndq6RparrhEoceel7LC4Z
